Area macro,Area detailed,Type,Operator,Website 
AML,-,Inter-urban,TTSL,https://ttsl.pt/
AML,-,Urban,MTS,https://www.mts.pt/
,,,,
AMP,-,Inter-urban,Unir,https://www.unirmobilidade.pt/
,,,,
CIMO,-,Inter-urban,Barraqueiro Oeste (Barraqueiro),https://www.barraqueiro-oeste.pt/barraqueirooeste/Barraqueiro-Oeste
CIMO,-,Inter-urban,Boa Viagem (Barraqueiro),https://www.boa-viagem.pt/boaviagem/Boa-Viagem
CIMO,-,Inter-urban,Rodoviária do Oeste ,https://rodoviariadooeste.pt/
,,,,
CIMLT,-,Inter-urban,Ribatejana (Barraqueiro),https://www.ribatejana.pt/ribatejana/Ribatejana
CIMLT,-,Inter-urban,Rodotejo,https://www.rodotejo.pt/interurbanas/
CIMLT,Santarém ,Urban,Scalabus,https://www.scalabus.pt/catalogo/cartaz%20scalabus%20abril23.pdf
,,,,
CIMMT,Abrantes,Urban,aBUSa,https://www.meiomt.pt/urbanas/
CIMMT,Entroncamento,Urban,TURE Transportes Urbanos do Entroncamento,https://cm-entroncamento.pt/index.php/visitar/transportes/linhas-circuitos-e-horarios
CIMMT,Ourém,Urban,TUFO Transporte Urbano Ourém-Fátima,https://tufo.ourem.pt/
CIMMT,Tomar,Urban,TUTomar,https://www.meiomt.pt/urbanas/
,,,,
Alentejo,-,Inter-urban,Rodoviária do Alentejo (Barraqueiro),https://www.rodalentejo.pt
CIMAC,Évora ,Urban,Trevo (Barraqueiro),https://www.trevo.com.pt/
Alentejo,Alto Alentejo,Inter-urban,Sistema de Transportes do Alto Alentejo (Rodoviária do Alentejo),https://transportesaltoalentejo.pt/home
Alentejo,Alentejo Central,Inter-urban,TPAC (Rodoviária do Alentejo),https://www.tpac.pt/home
CIMBAL,Baixo Alentejo,Inter-urban,TRIMBAL (Rodoviária do Alentejo),https://www.trimbal.pt/home
,,,,
,,,,
CIMRL,Marinha Grande,Urban,TUMG Transportes Urbanos da Marinha Grande,https://www.tumg.pt/
CIMRL,Pombal,Urban,POMBUS Transportes Urbanos de Pombal,https://www.cm-pombal.pt/transportes-urbanos/
,,,,
CIMRC,Coimbra,Urban,SMTUC Serviços Municipalizados de Transportes Urbanos de Coimbra,https://www.smtuc.pt/
CIMRC,Condeixa,Urban,UrbCondeixa (Trandev),https://www.transdev.pt/sites/default/files/pdf-sim/urb-condeixa-info-site-2212.pdf
CIMRC,Cantanhede,Urban,UrbIn Cantenhaede (Trandev),https://www.transdev.pt/sites/default/files/pdf-sim/urbin_cantanhede_info_site_2010.pdf
CIMRC,Lousã,Urban,UrbLousã (Transdev),https://cm-lousa.pt/servicos/transportes/
CIMRC,-,Inter-urban,"Busway (concessionado, mas não está em operação ainda?)",https://www.cim-regiaodecoimbra.pt/cim-regiao-de-coimbra-e-busway-celebram-contratos-de-concessao-de-transporte-de-passageiros-por-modo-rodoviario/
,,,,
National,North and center,Inter-urban,Transdev,https://www.transdev.pt/
,,,,
CIMRA,Aveiro,Urban,AveiroBus (Transdev),http://www.aveirobus.pt/
CIMRA,-,Inter-urban,Busway Região de Aveiro,https://busway-cira.pt/
,,,,
CIMBSR,Covilhã,Urban,Covilhã Mobilidade (Transdev),https://covilhamobilidade.pt/
,,,,
CIMAve,Famalicão,Urban,Operação Famalicão (Transdev),https://www.famalicao.pt/horario-dos-autocarros
,,,,
CIMCávado,-,Inter-urban,Cávado Mobilidade ,https://aitc.cimcavado.pt/horarios/
CIMCávado,Barcelos,Urban,TUBA Mobilidade de Barcelos (Trandev),https://tuba.barcelos.pt/
,,,,
CIMTS,Marco de Canaveses,Urban,UrbMarco (Transdev),http://www.transdev.pt/urbmarco
CIMTS,-,Inter-urban,Albano Esteves Martins,http://www.albanobus.pt/hor%C3%A1rios.html
CIMTS,-,Inter-urban,Auto-Viação Feirense,https://www.avfeirense.pt/avfeirense.pt/index26cf.html?menu=horarios
CIMTS,-,Inter-urban,Auto-Viação Landim,http://www.avlandim.pt/horarios.html
CIMTS,-,Inter-urban,Auto-Viação Pacense,http://www.avpacense.pt/horarios.html
CIMTS,-,Inter-urban,Rodonorte ,https://myinfo.4cloud.pt/IP/MotorBusca/rodonorte/Horarios.aspx?g=9
CIMTS,-,Inter-urban,Valpibus ,https://www.valpibus.pt/Pages/Public/LinesActive.aspx
,,,,
CIMAT,-,Inter-urban,Faviamobil,https://www.flaviamobil.pt/home
,,,,
CIMAM,-,Inter-urban,Auto Viação Cura,http://www.avcura.com/
CIMAM,-,Inter-urban,Courense,https://www.avic.pt/transportes/pt#
CIMAM,-,Inter-urban,Ovnitur,https://ovnitur.pt/expresso-lamego/
CIMAM,-,Inter-urban,UTS,https://www.cm-pontedelima.pt/pages/1680?poi_id=744
