Area,ReferenceDate,URL,Ignore,Type,Notes,GTFSDocs
cp,2025-02-05,https://publico.cp.pt/gtfs/gtfs.zip,1,Long distance,No shapes.txt!,https://www.transit.land/operators/o-eyc-cp
autna,2025-02-05,https://drive.google.com/uc?export=download&id=1gah1x10RyFu7gJPweBcCXPd9vcFJFQ7c,1,Long distance,"Autocarros Porto>Vigo. GTFS stop_time on PT stops have ES timezone, só not accurate. Validated againt https://autna.com/pt-pt/horarios-y-tarifas/",https://www.transit.land/operators/o-ez-autnatransportes
,,,,,,
AML,2025-02-05,https://api.carrismetropolitana.pt/gtfs,1,Inter-urban,Validated against CityMapper,https://github.com/carrismetropolitana/api
barreiro,2025-02-05,https://www.tcbarreiro.pt/front/files/sample_gtfs/GTFS-TCB_24.zip,1,Urban,Validated gainst CityMapper,https://www.tcbarreiro.pt/
cascais,2025-02-05,https://drive.google.com/u/0/uc?id=13ucYiAJRtu-gXsLa02qKJrGOgDjbnUWX&export=download,1,Urban,Validated against previous version,https://dadosabertos.cascais.pt/pt_PT/dataset/gtfs-mobicascais
lisboa,2025-02-05,https://gateway.carris.pt/gateway/gtfs/api/v2.8/GTFS,1,Urban,Validated against CityMapper,https://gateway.carris.pt/apiui/#!/apis/2c05b837-1c8e-4b34-85b8-371c8edb344b/pages/d7f1c190-908d-4615-b1c1-90908d4615f5
metroLisboa,2025-02-05,https://www.metrolisboa.pt/google_transit/googleTransit.zip,1,Urban,,
fertagus,2025-02-05,https://www.fertagus.pt/GTFSTMLzip/Fertagus_GTFS.zip,1,Urban,,
,,,,,,
braga,2025-02-05,https://tub.pt/developer/gtfs/feed/tub.zip,1,Urban,Validated against previous version,https://tub.pt/downloads/
stcp,2025-02-05,https://opendata.porto.digital/dataset/5275c986-592c-43f5-8f87-aabbd4e4f3a4/resource/1e0f4315-3694-42b0-a8ce-5218ad4742e5/download/horarios_gtfs_stcp_06_01_2025.zip,1,Urban,Validated against previous version,https://opendata.porto.digital/de/dataset/horarios-paragens-e-rotas-em-formato-gtfs-stcp/resource/1e0f4315-3694-42b0-a8ce-5218ad4742e5
metroPorto,2025-02-05,https://www.metrodoporto.pt/metrodoporto/uploads/document/file/693/google_transit_v2.zip,1,Urban,,https://www.metrodoporto.pt/pages/337
,,,,,,
CIMMT,2025-02-05,https://drive.google.com/uc?export=download&id=1v9eGjezOzbaBQi-Aa5c15tZXcSiiDwqA,1,Inter-urban,"Meio, Transportes do Médio Tejo. Validated against Google Maps",https://www.transit.land/operators/o-e-rmtejo
,,,,,,
AMAL,2025-02-05,https://drive.google.com/uc?export=download&id=1CM8O4ndsfSJhka42SxFUZ9eB-wE10NqX,1,Inter-urban,"Vamus, Transportes do Algarve. Validated against Google Maps",https://www.transit.land/operators/o-ey-vizur
faro,2025-02-05,https://drive.google.com/uc?export=download&id=1xNHjM7yl-SS1jCkGrvIBBlOhUkFfNBjY,1,Urban,Próximo,https://www.transit.land/feeds/f-eyd-pxm
tavira,2025-02-05,https://drive.google.com/uc?export=download&id=1C2KBOVsbm__ymWDgU1bXGbP0Gv3D2yo5,1,Urban,Sobe e Desce,https://www.transit.land/operators/o-eyd-sobeedesce
albufeira,2025-02-05,https://drive.google.com/uc?export=download&id=1tkKV40lQlFcLiJhq8SwZQdxNVjFclRCA,1,Urban,GIRO,https://www.transit.land/operators/o-eyd-giro
loule,2025-02-05,https://drive.google.com/uc?export=download&id=1w92h129CWNSoImBRZQOWT6KRPzSFwJ42,1,Urban,Apanha-me!,https://www.transit.land/operators/o-eyd-apanhame
lagos,2025-02-05,https://drive.google.com/uc?export=download&id=1aPfsxHqopxxcjV8HlRzImzxh_a6zRxGp,1,Urban,A onda,https://www.transit.land/operators/o-ey9-aonda
olhao,2025-02-05,https://drive.google.com/uc?export=download&id=1X5uXAYJ5ItxMhrnDZSz3v9-U3kgL6QbJ,1,Urban,Circuito Olhão,https://www.transit.land/operators/o-eyd-circuitoolhao
portimao,2025-02-05,https://drive.google.com/uc?export=download&id=1Ii02y25MCOilAaQixsZNs1rcgdvNoYCs,1,Urban,Vai e Vem,https://www.transit.land/operators/o-ey9-vaievem
,,,,,,
funchal,2025-02-05,http://www.horariosdofunchal.pt/google_transit.zip,1,Urban,Horários do Funchal,https://www.transit.land/operators/o-etgc-hf~urbano
,,,,,,
CIMRL,2025-02-05,https://drive.google.com/uc?export=download&id=192Qat2jJKyv5hhO8T3eVT70M5NB0dtXC,1,Inter-urban,Rodoviária do Lis. Inclui Rápidas de Leiria.,https://www.transit.land/operators/o-ez-rdlis
leiria,2025-02-05,https://drive.google.com/uc?export=download&id=1NqcOk8IrlV73TBonJAxpzIUTjaAjF27M,1,Urban,Mobilis,https://www.transit.land/operators/o-ez1-rdlis
,,,,,,
lousada,2025-02-05,https://dadosabertos.cm-lousada.pt/datasets/GTFS_CIMTS_UT3.zip,0,Inter-urban,Transporte Público Rodoviário (Município de Lousada),https://nap-portugal.imt-ip.pt/nap/multimodalsupplydetail/195
